customer_id,first_name,city,segment,signup_date
1,Customer_1,Dresden,Corporate,2024-02-01
2,Customer_2,Cologne,Consumer,2025-12-17
3,Customer_3,Leipzig,Consumer,2024-04-04
4,Customer_4,Frankfurt,Consumer,2023-03-02
5,Customer_5,Dresden,Consumer,2024-01-04
6,Customer_6,Bremen,Small Business,2024-12-19
7,Customer_7,Hamburg,Consumer,2024-06-29
8,Customer_8,Dresden,Corporate,2025-11-06
9,Customer_9,Leipzig,Consumer,2024-05-10
10,Customer_10,Frankfurt,Consumer,2024-05-11
11,Customer_11,Cologne,Consumer,2024-05-19
12,Customer_12,Leipzig,Consumer,2025-08-26
13,Customer_13,Leipzig,Corporate,2025-12-28
14,Customer_14,Hamburg,Consumer,2023-06-10
15,Customer_15,Stuttgart,Consumer,2024-12-18
16,Customer_16,Frankfurt,Corporate,2025-09-19
17,Customer_17,Munich,Consumer,2023-09-26
18,Customer_18,Leipzig,Small Business,2024-11-29
19,Customer_19,Stuttgart,Consumer,2025-05-14
20,Customer_20,Munich,Consumer,2023-12-16
21,Customer_21,Frankfurt,Consumer,2023-04-20
22,Customer_22,Berlin,Consumer,2024-02-11
23,Customer_23,Bremen,Consumer,2024-10-11
24,Customer_24,Stuttgart,Consumer,2023-02-20
25,Customer_25,Düsseldorf,Small Business,2025-12-27
26,Customer_26,Berlin,Corporate,2024-08-18
27,Customer_27,Bremen,Consumer,2025-09-05
28,Customer_28,Hamburg,Consumer,2025-12-01
29,Customer_29,Dresden,Consumer,2024-12-31
30,Customer_30,Cologne,Consumer,2023-02-26
31,Customer_31,Düsseldorf,Corporate,2025-01-07
32,Customer_32,Hamburg,Consumer,2023-07-15
33,Customer_33,Frankfurt,Consumer,2025-12-21
34,Customer_34,Hamburg,Consumer,2023-04-22
35,Customer_35,Dresden,Small Business,2025-02-03
36,Customer_36,Frankfurt,Consumer,2024-12-11
37,Customer_37,Düsseldorf,Consumer,2025-08-05
38,Customer_38,Dresden,Consumer,2023-01-26
39,Customer_39,Munich,Consumer,2024-02-14
40,Customer_40,Cologne,Consumer,2025-01-27
41,Customer_41,Düsseldorf,Consumer,2024-06-14
42,Customer_42,Munich,Corporate,2025-01-18
43,Customer_43,Bremen,Consumer,2023-09-03
44,Customer_44,Düsseldorf,Consumer,2024-10-23
45,Customer_45,Bremen,Small Business,2025-06-27
46,Customer_46,Frankfurt,Corporate,2024-01-31
47,Customer_47,Munich,Consumer,2024-06-05
48,Customer_48,Cologne,Consumer,2025-07-14
49,Customer_49,Dresden,Consumer,2023-09-21
50,Customer_50,Leipzig,Corporate,2025-02-28
51,Customer_51,Hamburg,Consumer,2023-06-21
52,Customer_52,Berlin,Consumer,2023-09-22
53,Customer_53,Cologne,Consumer,2025-11-15
