order_item_id,order_id,product_id,quantity,unit_price
1,13163,30,1,24.01
2,5149,73,1,60.13
3,14210,86,3,5.88
4,19496,33,2,49.56
5,19369,99,1,48.94
6,11699,48,2,48.09
7,7733,72,1,25.63
8,7492,39,1,22.65
9,7949,41,2,34.73
10,16028,46,1,35.21
11,4088,16,1,27.15
12,16680,57,1,21.24
13,2511,51,1,28.77
14,13118,7,1,10.94
15,289,79,1,15.64
16,14577,47,1,23.69
17,10444,37,1,105.17
18,13086,89,3,35.48
19,16580,47,5,21.57
20,17959,73,1,57.46
21,12908,28,1,29.87
22,19312,76,1,43.66
23,9682,44,4,33.57
24,14991,42,1,10.07
25,8753,47,1,23.09
26,215,80,4,24.03
27,5603,84,1,71.42
28,8389,44,2,33.27
29,10177,92,1,44.09
30,18570,4,2,29.44
31,6735,82,3,19.17
32,19936,17,2,89.73
33,344,98,4,21.37
34,10576,10,2,58.79
35,18954,30,1,25.05
36,19810,96,1,12.1
37,3944,93,1,90.45
38,6522,77,1,12.53
39,12818,51,1,28.45
40,15225,73,1,62.05
41,18870,70,5,30.3
42,14956,20,2,21.53
43,10578,23,2,37.26
44,4237,59,1,29.39
45,11493,68,1,43.57
46,17547,11,1,73.28
47,4355,97,1,25.08
48,912,84,2,71.18
49,16081,88,1,40.31
50,1849,66,3,53.74
51,12518,75,1,43.4
52,17933,20,2,21.22
53,17969,33,1,53.49
54,16173,2,2,25.27
55,360,39,2,24.53
56,2696,83,1,65.25
57,6995,13,3,59.12
58,632,13,1,66.3
59,12607,5,1,23.15
60,7666,34,3,43.21
61,14395,38,1,13.1
62,15437,52,1,27.1
63,12093,60,1,41.54
64,17329,92,2,39.62
65,19710,73,1,51.49
66,17171,3,3,56.49
67,8119,23,3,34.27
68,11321,41,1,35.89
69,19519,49,3,33.52
70,1474,75,1,47.58
71,5273,55,2,
72,15813,92,2,38.88
73,16012,79,3,16.66
74,18459,98,2,21.06
75,17656,85,2,77.45
76,19395,58,2,24.13
77,9398,40,1,21.56
78,15926,73,2,56.1
79,15989,18,2,15.09
80,1805,79,2,17.54
81,10515,56,1,135.29
82,13151,35,2,23.49
83,4724,10,2,58.11
84,1118,7,1,11.53
85,18638,87,4,118.65
86,13344,40,2,23.04
87,13873,56,1,121.25
88,2662,97,2,29.06
89,10085,77,1,13.34
90,13966,1,1,32.36
91,1070,17,1,96.98
92,10844,22,1,24.13
93,11453,23,2,33.47
94,5785,44,1,32.58
95,11723,91,2,15.41
96,1725,67,1,20.38
97,16411,21,2,26.8
98,2297,83,2,60.68
99,14067,55,4,
100,9967,95,1,14.61
101,11313,50,1,8.97
102,7697,18,1,13.95
103,6131,99,2,48.25
104,10181,27,1,19.05
105,17590,35,1,23.02
106,4833,95,1,16.21
107,12238,33,2,54.28
108,18858,84,1,70.35
109,12959,25,2,118.47
110,15112,55,1,
111,2369,84,1,59.61
112,8679,77,1,14.6
113,5253,87,1,109.64
114,13118,92,1,40.81
115,11274,60,2,44.03
116,2022,20,1,22.79
117,4942,21,2,27.33
118,18749,38,2,11.83
119,2597,56,1,122.89
120,7199,67,1,21.39
121,13422,86,1,5.68
122,13464,54,1,207.64
123,16725,34,2,44.25
124,11765,10,2,53.66
125,12287,50,1,7.85
126,6595,17,2,101.26
127,646,83,1,60.02
128,4039,60,1,43.27
129,17459,69,1,22.51
130,18831,69,1,24.29
131,5038,34,1,51.23
132,2798,47,1,25.67
133,11340,33,2,52.48
134,8445,15,2,32.91
135,9938,58,1,21.82
136,4761,2,1,24.33
137,15270,56,1,132.29
138,15038,36,1,46.2
139,341,86,2,5.53
140,18366,6,2,11.2
141,18749,27,2,18.91
142,1144,29,1,43.08
143,10219,80,2,28.4
144,5911,99,4,48.76
145,19124,63,3,32.96
146,19602,41,1,33.17
147,10284,42,1,10.42
148,7240,70,2,34.71
149,18612,63,4,31.25
150,16318,98,1,20.02
151,7689,62,2,10.71
152,10187,34,3,47.22
153,45,25,1,118.73
154,11172,92,1,45.1
155,6958,38,1,12.44
156,6449,46,1,36.2
157,9346,13,4,64.82
158,12115,13,3,67.08
159,3034,39,1,25.48
160,17343,58,4,24.26
161,5034,99,1,55.5
162,7193,67,5,22.2
163,2025,54,1,205.13
164,18686,100,1,83.01
165,6013,53,1,50.24
166,19872,51,2,30.48
167,18864,29,2,40.7
168,15101,86,4,5.12
169,10041,71,4,31.3
170,19688,62,3,12.73
171,12787,5,1,20.9
172,4770,51,3,33.24
173,5810,61,2,23.28
174,3028,38,3,13.33
175,11991,10,1,53.39
176,19508,65,1,69.21
177,3666,8,3,39.66
178,5694,86,2,6.0
179,3445,86,1,5.68
180,11448,58,2,23.21
181,9725,79,3,17.86
182,12590,30,1,27.52
183,19495,18,1,15.78
184,3001,70,1,32.47
185,5916,12,2,29.37
186,15013,66,1,51.0
187,8180,70,1,33.75
188,13146,56,2,134.31
189,19675,86,1,5.5
190,15852,44,2,31.83
191,12479,4,2,28.25
192,15609,54,1,177.82
193,3963,15,3,32.84
194,14893,37,2,99.89
195,18299,33,2,51.51
196,8591,30,3,27.59
197,4976,59,4,27.06
198,4067,18,3,15.49
199,16182,40,2,24.09
200,19095,14,1,23.8
201,16321,43,1,82.52
202,19144,84,1,61.06
203,12229,100,2,80.78
204,3751,85,3,70.77
205,15736,37,1,99.75
206,13374,28,3,29.37
207,11007,17,2,87.8
208,14199,99,3,54.14
209,17251,18,3,13.99
210,17078,26,1,51.54
211,14569,40,1,25.39
212,19790,94,2,34.62
213,6274,67,3,19.23
214,15363,62,3,11.74
215,12234,96,2,12.86
216,15170,45,1,42.02
217,6445,15,1,30.58
218,19854,69,2,21.49
219,12013,90,1,33.31
220,7171,96,3,13.29
221,5556,49,2,35.01
222,15933,40,4,23.55
223,9623,58,1,22.18
224,12685,46,5,34.06
225,14909,88,1,40.07
226,13820,45,1,43.31
227,17123,85,2,79.23
228,12191,43,3,81.14
229,11681,73,4,56.47
230,13069,26,1,51.7
231,13026,87,1,107.94
232,13012,26,1,49.36
233,15422,93,1,88.61
234,4803,44,2,36.25
235,13231,76,1,37.87
236,1567,85,2,81.14
237,17811,63,1,35.2
238,2090,4,2,25.49
239,4363,6,1,10.63
240,10479,19,1,32.73
241,12107,48,2,51.72
242,3537,5,2,21.12
243,12130,55,1,
244,16754,29,1,38.7
245,19946,19,3,37.27
246,17751,72,1,25.62
247,9130,7,1,10.22
248,15099,13,1,61.07
249,4817,92,1,44.33
250,12336,58,2,24.21
251,12675,94,1,38.04
252,9517,42,1,10.51
253,13490,98,1,18.66
254,15651,19,2,32.02
255,2084,79,1,14.71
256,8133,5,2,22.43
257,16794,5,1,22.38
258,16090,13,3,60.94
259,18559,40,1,22.97
260,4660,58,1,21.42
261,3334,52,5,30.34
262,4124,38,3,11.38
263,2093,63,2,35.0
264,19022,38,2,13.5
265,9767,61,1,22.38
266,17035,12,2,30.02
267,18124,42,1,9.45
268,13561,50,1,8.25
269,14002,1,2,33.56
270,7676,97,1,28.65
271,8995,64,2,16.7
272,12916,85,1,81.18
273,11719,4,1,28.57
274,6389,1,3,36.05
275,13079,99,2,54.67
276,16513,42,1,10.99
277,18324,24,2,84.49
278,15008,21,1,27.08
279,2742,37,2,108.63
280,1138,18,1,14.04
281,19790,44,1,32.81
282,12997,3,1,61.23
283,3916,29,1,41.13
284,11074,2,1,25.28
285,1407,49,2,34.67
286,10698,88,4,39.0
287,10381,70,1,32.46
288,2783,90,2,28.51
289,13870,98,1,21.18
290,15256,41,1,36.86
