order_id,customer_id,order_date,status,payment_method
1,4582,2025-10-16,Completed,Card
2,1461,2024-04-08,Completed,Bank Transfer
3,3888,2024-08-12,Completed,Bank Transfer
4,293,2024-03-15,Completed,PayPal
5,1644,2025-12-10,Completed,Card
6,2719,2024-07-02,Completed,Card
7,838,2024-10-19,Completed,Card
8,1038,2024-02-26,Cancelled,Card
9,272,2024-09-05,Cancelled,Bank Transfer
10,1959,2025-09-17,Completed,Card
11,2370,2025-04-13,Completed,Card
12,806,2024-05-19,Completed,Card
13,3175,2024-12-24,Completed,Card
14,883,2025-07-06,Completed,Card
15,832,2025-02-11,Completed,Card
16,3172,2025-04-18,Completed,PayPal
17,2192,2025-10-26,Completed,PayPal
18,2041,2025-03-21,Completed,Card
19,1595,2024-08-19,Completed,Card
20,1627,2025-09-08,Completed,Card
21,3585,2025-09-09,Completed,Card
22,274,2024-10-26,Returned,Card
23,590,2025-10-03,Completed,PayPal
24,2701,2025-03-01,Completed,PayPal
25,583,2024-06-09,Completed,Bank Transfer
26,3634,2025-02-04,Completed,Card
27,1991,2025-01-12,Completed,PayPal
28,1259,2024-09-13,Completed,Bank Transfer
29,2867,2025-05-08,Completed,Card
30,3739,2025-05-03,Completed,Card
31,572,2024-06-30,Returned,Card
32,545,2025-06-09,Completed,Card
33,4223,2024-04-09,Completed,PayPal
34,4829,2024-12-23,Completed,PayPal
35,4513,2024-08-18,Completed,Card
36,638,2025-07-18,Completed,PayPal
37,41,2024-01-06,Completed,PayPal
38,4883,2024-03-30,Completed,Card
39,4393,2024-03-04,Completed,Card
40,1621,2024-03-28,Completed,Card
41,3673,2024-02-02,Cancelled,PayPal
42,4138,2024-03-12,Completed,PayPal
43,4129,2025-07-09,Completed,Card
44,1300,2024-09-09,Completed,PayPal
45,4712,2024-04-16,Completed,PayPal
46,160,2025-05-28,Completed,PayPal
47,1953,2024-05-15,Completed,Card
48,1732,2025-09-20,Completed,Card
49,2447,2025-02-12,Completed,Bank Transfer
50,3163,2024-04-30,Completed,Card
51,1733,2025-04-22,Completed,PayPal
52,581,2024-04-03,Cancelled,PayPal
53,220,2025-05-19,Completed,Bank Transfer
54,4475,2024-01-07,Completed,Card
55,1750,2025-08-22,Completed,Bank Transfer
56,1471,2025-11-24,Completed,Card
57,4329,2024-07-09,Completed,Card
58,1395,2025-04-01,Completed,PayPal
59,922,2025-12-20,Completed,Card
60,2774,2025-01-20,Completed,Card
61,4463,2024-10-04,Completed,PayPal
62,4577,2025-03-23,Returned,Bank Transfer
63,3435,2024-02-21,Completed,PayPal
64,3583,2025-02-08,Completed,PayPal
65,1119,2025-01-30,Completed,Card
66,1866,2025-11-24,Completed,Card
67,4312,2024-07-29,Completed,Bank Transfer
68,725,2025-12-10,Completed,PayPal
69,712,2024-09-26,Completed,PayPal
70,1826,2025-06-28,Completed,Card
71,3927,2025-09-05,Completed,PayPal
72,391,2024-10-08,Completed,PayPal
73,1071,2025-02-01,Completed,PayPal
74,4488,2024-08-03,Completed,Card
75,2766,2025-03-07,Completed,PayPal
76,4481,2024-11-16,Cancelled,Card
77,2429,2025-09-30,Returned,PayPal
78,4495,2025-05-07,Returned,Card
79,2148,2025-08-28,Returned,Card
80,3573,2025-08-08,Completed,PayPal
81,4479,2024-05-07,Completed,Card
82,2755,2024-03-14,Completed,Card
83,3264,2025-04-20,Completed,PayPal
84,3826,2025-03-27,Completed,Bank Transfer
85,3417,2025-04-06,Completed,Card
86,2058,2025-03-13,Completed,PayPal
87,2312,2024-09-12,Completed,Card
88,2880,2025-03-23,Completed,Bank Transfer
89,3643,2024-04-11,Completed,PayPal
90,2610,2025-07-12,Completed,PayPal
91,1431,2025-11-07,Completed,PayPal
92,1914,2024-10-09,Completed,PayPal
93,758,2024-07-22,Completed,Card
94,2135,2024-03-26,Completed,Card
95,1913,2024-11-19,Completed,PayPal
96,1740,2024-06-12,Completed,Card
97,3218,2024-02-26,Completed,Card
98,4757,2024-07-24,Completed,PayPal
99,1135,2025-03-04,Completed,Card
100,3713,2024-05-27,Completed,Bank Transfer
101,765,2024-10-27,Completed,PayPal
102,2726,2024-10-16,Completed,PayPal
103,3369,2024-01-21,Completed,PayPal
104,3498,2024-05-16,Completed,Card
105,1673,2025-01-03,Completed,Card
106,3406,2025-06-05,Completed,PayPal
107,583,2025-07-10,Completed,Card
108,4767,2025-03-11,Completed,Card
109,4634,2024-01-30,Returned,Card
110,1822,2025-03-23,Completed,Bank Transfer
111,1186,2024-08-12,Completed,Card
112,4526,2025-01-20,Completed,Card
113,1638,2025-11-19,Completed,Bank Transfer
114,2181,2025-08-30,Completed,Card
115,189,2025-03-04,Completed,Card
116,1747,2025-06-12,Completed,Card
117,3827,2024-01-28,Completed,Card
118,2621,2024-05-05,Completed,Bank Transfer
119,3946,2025-05-13,Completed,PayPal
120,2327,2024-07-05,Completed,Card
121,1185,2025-10-15,Completed,Card
122,2794,2025-01-06,Completed,Card
123,2947,2024-05-17,Completed,PayPal
124,2501,2024-12-02,Completed,PayPal
125,4947,2024-08-01,Completed,Card
126,170,2024-10-17,Completed,Bank Transfer
127,4926,2025-07-23,Completed,Bank Transfer
128,2746,2025-01-05,Completed,Card
129,1081,2025-06-13,Completed,Card
130,1264,2025-11-22,Completed,PayPal
131,4865,2025-10-31,Completed,Card
132,4454,2025-07-02,Completed,Card
133,2249,2024-10-22,Completed,Bank Transfer
134,3909,2025-08-13,Completed,Bank Transfer
135,1326,2025-02-22,Completed,Bank Transfer
136,3178,2025-10-27,Completed,Card
137,3874,2024-12-26,Completed,PayPal
138,2149,2024-06-06,Completed,Card
139,1689,2024-03-15,Completed,Bank Transfer
140,2986,2025-01-06,Completed,Card
141,2077,2025-07-20,Completed,Card
142,1530,2025-12-18,Completed,Card
143,1462,2025-12-27,Completed,Card
144,1403,2025-06-04,Cancelled,Bank Transfer
145,73,2024-04-15,Returned,Card
146,4350,2025-01-01,Completed,Card
147,4035,2025-02-05,Completed,Card
148,4612,2024-04-12,Cancelled,PayPal
149,2797,2024-11-20,Completed,Card
150,4517,2025-01-07,Completed,Card
151,2494,2024-12-03,Completed,Card
