product_id,product_name,category,unit_price
1,Product_001,Home,35.24
2,Product_002,Books,24.59
3,Product_003,Clothing,58.74
4,Product_004,Sports,28.13
5,Product_005,Beauty,22.34
6,Product_006,Clothing,10.51
7,Product_007,Home,10.58
8,Product_008,Beauty,38.1
9,Product_009,Home,31.5
10,Product_010,Books,58.96
11,Product_011,Books,69.04
12,Product_012,Books,28.24
13,Product_013,Electronics,61.35
14,Product_014,Home,22.98
15,Product_015,Clothing,30.04
16,Product_016,Sports,29.49
17,Product_017,Sports,92.42
18,Product_018,Books,14.43
19,Product_019,,34.41
20,Product_020,Beauty,21.06
21,Product_021,Home,27.27
22,Product_022,Home,26.52
23,Product_023,Home,34.7
24,Product_024,Beauty,79.48
25,Product_025,Clothing,114.01
26,Product_026,Electronics,50.74
27,Product_027,Beauty,17.52
28,Product_028,Home,29.56
29,Product_029,Home,39.23
30,Product_030,Home,25.42
31,Product_031,Clothing,27.66
32,Product_032,Sports,31.62
33,Product_033,Electronics,54.7
34,Product_034,Beauty,46.74
35,Product_035,Home,22.27
36,Product_036,Books,48.68
37,Product_037,Electronics,101.58
38,Product_038,Books,12.39
39,Product_039,Electronics,24.92
40,Product_040,Home,23.72
41,Product_041,Electronics,34.88
42,Product_042,Electronics,10.12
43,Product_043,Home,80.21
44,Product_044,Clothing,34.14
45,Product_045,Books,40.2
46,Product_046,Clothing,37.28
47,Product_047,Books,23.67
48,Product_048,Sports,52.15
49,Product_049,Books,33.23
50,Product_050,Books,8.54
51,Product_051,Electronics,30.87
52,Product_052,Sports,27.65
53,Product_053,Home,52.09
54,Product_054,Home,191.7
55,Product_055,Beauty,
56,Product_056,Sports,131.35
57,Product_057,Electronics,21.2
58,Product_058,Beauty,22.1
59,Product_059,Beauty,28.21
60,Product_060,Home,43.66
61,Product_061,Books,21.84
62,Product_062,Electronics,11.62
63,Product_063,Sports,33.62
64,Product_064,Beauty,15.75
65,Product_065,Electronics,68.39
66,Product_066,Home,50.33
67,Product_067,Beauty,20.21
68,Product_068,Beauty,44.53
69,Product_069,Clothing,23.19
70,Product_070,Home,32.01
71,Product_071,Clothing,32.23
72,Product_072,Home,26.62
73,Product_073,Home,56.82
74,Product_074,Clothing,16.0
75,Product_075,Electronics,46.95
76,Product_076,Electronics,40.36
77,Product_077,Electronics,13.29
78,Product_078,Books,19.76
79,Product_079,Beauty,16.26
80,Product_080,Electronics,26.1
81,Product_081,Books,34.17
82,Product_082,Beauty,18.11
83,Product_083,Electronics,62.17
84,Product_084,Home,65.86
85,Product_085,Sports,73.87
86,Product_086,Electronics,5.66
87,Product_087,Sports,117.48
88,Product_088,Electronics,36.89
89,Product_089,Home,34.15
90,Product_090,Sports,30.99
91,Product_091,Books,14.03
92,Product_092,Home,41.84
93,Product_093,Sports,94.42
94,Product_094,Sports,36.6
95,Product_095,Clothing,16.04
96,Product_096,Clothing,12.29
97,Product_097,Home,27.35
98,Product_098,Home,20.42
99,Product_099,Home,52.28
100,Product_100,Beauty,80.7
